seller_id,gmv,gmv,nmv,nmv,orders,orders,items,buyers,gmv_growth,orders_growth,cluster,segment
,mean,std,mean,std,mean,max,mean,mean,mean,mean,,
1000121451106,5.578215703099144,2.412766487471441,5.578215703099144,2.412766487471441,1.75,2,2.0,1.75,0.6150846755057805,0.16666666666666666,2,Stable Performer
1000121451113,1.970732835780395,0.0,0.0,0.0,1.0,1,2.0,1.0,0.0,0.0,2,Stable Performer
1000121451160,34.934514996747026,21.914446039537356,0.0,0.0,1.7777777777777777,3,1.8888888888888888,1.5555555555555556,0.846657177310993,0.6458333333333333,2,Stable Performer
1000121451206,6.141246454391905,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,2,Stable Performer
1000121451213,3.8683135612162705,1.4563312043904608,1.5862412919700108,1.9409258577101187,1.1111111111111112,2,1.2222222222222223,1.0,-0.027451042083440028,0.0625,2,Stable Performer
1000121451233,9.10055952712411,0.0,0.0,0.0,2.0,2,2.0,1.0,0.0,0.0,2,Stable Performer
1000121451246,6.035464669204067,2.956462957358186,5.247361329347292,3.1116797114643355,1.7,4,1.957142857142857,1.6428571428571428,0.35430736100408605,0.2041062801932367,2,Stable Performer
1000121451253,8.75415835444419,0.0,0.0,0.0,2.0,2,2.0,1.0,0.0,0.0,2,Stable Performer
1000121451277,4.140104875350238,0.0,0.0,0.0,2.0,2,2.0,2.0,0.0,0.0,2,Stable Performer
1000121451297,4.55672743998387,3.8529480277501227,4.55672743998387,3.8529480277501227,1.6,3,1.8,1.6,0.5540479883537515,0.29166666666666663,2,Stable Performer
1000121451309,2.1153588692404828,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,2,Stable Performer
1000121451319,8.845205555915125,0.8779945358716799,0.0,0.0,1.0,1,1.0,1.0,-0.13117117513087617,0.0,2,Stable Performer
1000121451329,6.592591149113839,2.2162936184047592,4.684911670284754,3.3901277287736873,1.5,2,1.5,1.5,0.3100093746750467,0.1,2,Stable Performer
1000121451333,4.787934958775543,0.009603702048058159,0.0,0.0,1.0,1,1.0,1.0,-0.00283263032075165,0.0,2,Stable Performer
1000121451347,2.889913202568465,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,2,Stable Performer
1000121451355,15.974245077793054,8.598408992142085,12.649623284172291,4.0779156138811965,1.2857142857142858,2,1.2857142857142858,1.2857142857142858,-0.01400667773384573,0.0,2,Stable Performer
1000121451364,12.436570427463518,7.957688716926294,7.07706851766809,7.472922162233608,2.0,3,2.0,2.0,0.04469201912418683,0.08333333333333331,2,Stable Performer
1000121451374,2.528275085802965,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,2,Stable Performer
1000121451376,3.678741958432206,0.08227860812134653,0.0,0.0,1.0,1,1.0,1.0,-0.011044818236422671,0.0,2,Stable Performer
1000121451396,4.736946232164635,2.2681880725736057,4.16061451288166,2.7901354778957406,1.7777777777777777,3,2.0,1.7777777777777777,0.24266523999863876,0.3125,2,Stable Performer
1000121451451,6.468789921314569,0.039740207185772015,0.0,0.0,1.0,1,1.0,1.0,-0.00865046748885212,0.0,2,Stable Performer
1000121451452,37.46650196251718,0.0,37.46650196251718,0.0,1.0,1,1.0,1.0,0.0,0.0,2,Stable Performer
1000121454089,5.210859012649681,4.510023047478188,0.6388770565316065,1.4260706471208302,1.9,5,2.0,1.5,0.4399267082459469,0.31851851851851853,2,Stable Performer
1000121454104,17.454833972757346,6.682180175256682,12.551187240725284,7.762413048946523,2.111111111111111,3,2.111111111111111,2.0,0.16686261027249788,0.16666666666666666,2,Stable Performer
1000121454106,3.1584639470378297,0.8953953650232755,0.0,0.0,1.0,1,1.0,1.0,-0.12053034290228119,0.0,2,Stable Performer
1000121454119,8.809237340765433,11.349491465774502,0.0,0.0,1.4285714285714286,4,1.5714285714285714,1.0,0.5073521097407272,0.375,2,Stable Performer
